ID	Leaf Structure Index	Chlorophyll index	Water index	Cellulose Absorption Index	Nitrogen Related Index NRI1510	Nitrogen Related Index NRI850	Disease Water Stress Index 1	Disease Water Stress Index 2	Disease Water Stress Index 3	Disease Water Stress Index 4	Chlorophyll content
1	0.996542504	3.608335715	0.01082207	-0.409708932	0.536717608	0.774416892	1.421417118	2.848751711	5.595293343	1.9641211	0.12521667
2	0.98635161	4.162092415	0.011517495	-0.446627625	0.557138153	0.800450839	1.470539887	3.134456086	5.908364626	1.884972851	0.134333097
3	0.986012678	3.63435143	0.013159265	-0.40557953	0.474298196	0.760990093	1.497333627	2.71673029	4.894039268	1.801444658	0.115286644
4	0.99619965	3.763797173	0.009127128	-0.385985054	0.521500621	0.753107648	1.380428599	3.120015846	5.102113526	1.635284491	0.102133554
5	0.988514629	3.512518048	0.011549159	-0.424597871	0.531625453	0.776761299	1.442012764	2.679788757	5.727243889	2.13719976	0.127267729
6	0.987482301	3.75105057	0.010672077	-0.400617055	0.560543571	0.782026541	1.417445987	3.021491268	5.914033813	1.957322821	0.119617077
7	0.990727068	4.278620614	0.012482945	-0.442045105	0.553273243	0.797729878	1.442209237	3.423486687	6.194079658	1.809289834	0.115551792
8	1.004210899	3.873710041	0.010796753	-0.416063475	0.551571347	0.789793752	1.45224764	3.073667165	6.068776447	1.974441643	0.117784106
9	0.999807109	3.710087309	0.013463234	-0.438252903	0.4882148	0.77873108	1.533031256	2.719529267	5.435850839	1.998820496	0.113953348
10	0.994581599	2.953600501	0.011322643	-0.406879834	0.488825841	0.748355243	1.439521333	2.191237291	5.234133937	2.388665964	0.132083655
11	0.990817311	3.399511932	0.010637292	-0.420997549	0.521215318	0.770942476	1.455762235	2.536777898	5.514333828	2.173755074	0.128974875
12	1.008859311	3.816915914	0.010824018	-0.400887673	0.507243665	0.761946247	1.415977841	3.175910671	5.281750751	1.663066534	0.095725701
13	0.993856122	3.958079012	0.010759355	-0.404254663	0.536037998	0.771622679	1.40759567	3.236634825	5.477178113	1.692244695	0.102049691
14	0.99170488	4.915099731	0.012410792	-0.456045423	0.581855295	0.820932684	1.498831869	3.750343892	6.507387619	1.735144245	0.124432096
15	1.003778172	4.301417243	0.010615937	-0.448748058	0.593972561	0.816532356	1.440056943	3.349318998	6.746592379	2.014317652	0.137707381
16	0.993100599	3.370356785	0.010671883	-0.392257788	0.506907411	0.751226332	1.41806967	2.601960201	5.049295309	1.940573614	0.120940336
17	0.996559049	3.639083793	0.010868849	-0.398325332	0.519808519	0.760197467	1.403371831	2.956662738	5.262163218	1.779764445	0.10638659
18	0.991855264	4.121237489	0.009714282	-0.39364493	0.544307087	0.772864685	1.404730052	3.43986493	5.411037859	1.573037887	0.097386662
19	0.989789318	3.706624983	0.009693173	-0.404188722	0.539111092	0.764828407	1.375519845	2.998187097	5.512350082	1.838561072	0.115332512
20	0.992954562	4.017055386	0.008960425	-0.424706639	0.588991665	0.793117373	1.354787838	3.361728335	6.428187476	1.912167444	0.121466456
21	0.986960702	4.114872302	0.010897226	-0.429593844	0.541423245	0.783973308	1.417811787	3.419666561	5.823472139	1.702935662	0.100932149
22	0.9845115	3.907912383	0.012044001	-0.406139715	0.522100097	0.772442914	1.443806715	3.087882117	5.430323152	1.75859147	0.111549999
23	0.987042423	3.617368787	0.010636781	-0.448218585	0.565423613	0.793959302	1.422251512	2.787982171	6.241564175	2.238738913	0.141541063
24	0.995966513	3.561908768	0.010567239	-0.403690437	0.53761981	0.766268141	1.395664014	2.827629589	5.491971242	1.942252713	0.119319423
25	1.005975462	4.027242532	0.010231919	-0.403613244	0.533428991	0.773517269	1.432456897	3.155554264	5.216699549	1.653180111	0.115294796
26	0.977093485	3.389642279	0.014824836	-0.432279511	0.450923748	0.762107084	1.531563167	2.440810826	5.129816554	2.101685431	0.123170279
27	0.997302984	3.843691446	0.011548898	-0.429838888	0.52281582	0.77520702	1.450566879	2.958080298	5.431771151	1.836248717	0.114431072
28	0.981686124	3.520952521	0.012130454	-0.417048011	0.505192355	0.759083051	1.406652935	2.74335577	5.232834878	1.907457623	0.122721362
29	0.995879325	4.501423261	0.009517035	-0.437583191	0.611256849	0.814763791	1.401490695	3.667695433	6.671415826	1.818966691	0.127481631
30	0.997039913	3.757336	0.00989132	-0.381055134	0.513840665	0.755300296	1.394087952	3.052872254	5.093109792	1.668300986	0.105775772
31	0.996807128	3.30943098	0.011828422	-0.396053804	0.490002285	0.750910851	1.460314619	2.477783763	5.019941304	2.025980386	0.121162989
32	0.998647809	3.740137635	0.014117657	-0.419436342	0.444036871	0.764091411	1.561112436	2.708639593	4.860380151	1.79439899	0.111517916
33	0.98219456	3.166298547	0.010479404	-0.414882318	0.52158371	0.759160816	1.407159454	2.40976588	5.291674737	2.195928982	0.132625978
34	1.002673694	3.981310111	0.0128407	-0.413921028	0.482310112	0.765968888	1.495616241	3.122984557	5.038985959	1.613516131	0.086413574
35	0.995132309	3.783201855	0.011674663	-0.429584226	0.527198041	0.778992173	1.439847779	2.911840522	5.539064149	1.902255329	0.121731036
36	0.996784366	4.28482656	0.010486757	-0.395937904	0.516580593	0.767136908	1.425484826	3.524226719	5.119758984	1.452732583	0.087600208
37	0.997626281	3.604223835	0.012558043	-0.407937343	0.467398607	0.756189601	1.49070981	2.737890599	4.786289448	1.7481668	0.107405428
38	0.977635964	3.052883053	0.01132021	-0.385619837	0.486322963	0.734738194	1.415070924	2.304216764	4.811713687	2.088220936	0.123094528
39	0.976575419	2.949766288	0.010064933	-0.419952395	0.542486841	0.766113709	1.377736709	2.258985331	5.843094258	2.58660124	0.14745699
40	0.975223024	3.275597434	0.01306855	-0.39829634	0.473871756	0.741748902	1.446988087	2.452616812	4.775989007	1.94730338	0.117339578
41	0.978880499	3.527369573	0.011767631	-0.421421452	0.519530231	0.767724899	1.431038247	2.721874932	5.489585455	2.016839712	0.121988422
42	1.006344231	3.527920804	0.009963253	-0.398476961	0.510393438	0.756294879	1.425335029	2.756186759	5.233175667	1.898701403	0.100931972
43	0.999481015	3.815706431	0.010968305	-0.39577332	0.48652211	0.752274444	1.456228216	3.067337579	4.897619224	1.596700428	0.086467658
44	0.978377358	3.667598927	0.010645403	-0.3846195	0.501352256	0.747750266	1.433754813	2.910523743	4.859837741	1.669746812	0.09755812
45	1.00413411	3.673292091	0.009724546	-0.363456055	0.49998019	0.733811459	1.37708481	3.118044674	4.661797764	1.495102942	0.087530584
46	1.008725283	4.126397568	0.010838891	-0.393060563	0.532238487	0.772828925	1.432809345	3.311048816	5.244049657	1.583803184	0.106332554
47	0.995215536	3.583624083	0.013600695	-0.395526124	0.463414541	0.754036991	1.490987128	2.725379519	4.932545955	1.809856543	0.104963876
